주제,No.,날짜,발표자,분류,수업자료
복지 / 빈부격차 / 물가,2,"April 9, 2026",,경제,%25EC%2599%25B8%25EA%25B5%25AD%25EC%2596%25B4%25EC%258B%259C%25ED%2597%2598_%25EB%258C%2580%25EC%25B2%25B4%25EA%25B0%2595%25EC%25A2%258C_2.pptx
경제성장,1,"April 7, 2026",,경제,%25EC%2599%25B8%25EA%25B5%25AD%25EC%2596%25B4%25EC%258B%259C%25ED%2597%2598%25EB%258C%2580%25EC%25B2%25B4_%25EA%25B0%2595%25EC%25A2%258C_1.pptx
세금 / 청년실업 / 대기업,3,"April 14, 2026",,경제,%25EC%2599%25B8%25EA%25B5%25AD%25EC%2596%25B4%25EC%258B%259C%25ED%2597%2598_%25EB%258C%2580%25EC%25B2%25B4%25EA%25B0%2595%25EC%25A2%258C_3.pptx
"낙태 / 결혼 / 양성평등 ",9,"May 7, 2026",,사회,%25EC%2599%25B8%25EA%25B5%25AD%25EC%2596%25B4%25EC%258B%259C%25ED%2597%2598%25EB%258C%2580%25EC%25B2%25B4_%25EA%25B0%2595%25EC%25A2%258C_9.pptx
"고령화, 저출산 / 흙수저,금수저 / 교육",7,"April 28, 2026",,사회,%25EC%2599%25B8%25EA%25B5%25AD%25EC%2596%25B4%25EC%258B%259C%25ED%2597%2598%25EB%258C%2580%25EC%25B2%25B4_%25EA%25B0%2595%25EC%25A2%258C_7.pptx
중간고사,8,"April 30, 2026",,,
K-pop/ 오디션 프로그램/ 지상파,14,"May 26, 2026",,문화 과학,%25EC%2599%25B8%25EA%25B5%25AD%25EC%2596%25B4%25EC%258B%259C%25ED%2597%2598%25EB%258C%2580%25EC%25B2%25B4_%25EA%25B0%2595%25EC%25A2%258C_14.pptx
연예인/ SNS / 자율주행차 / 생명과학 / 인공지능,15,"May 28, 2026",,문화 과학,%25EC%2599%25B8%25EA%25B5%25AD%25EC%2596%25B4%25EC%258B%259C%25ED%2597%2598%25EB%258C%2580%25EC%25B2%25B4_%25EA%25B0%2595%25EC%25A2%258C_15.pptx
한미관계 / 한중관계 / 한일관계,6,"April 23, 2026",,정치외교,%25EC%2599%25B8%25EA%25B5%25AD%25EC%2596%25B4%25EC%258B%259C%25ED%2597%2598%25EB%258C%2580%25EC%25B2%25B4_%25EA%25B0%2595%25EC%25A2%258C_6.pptx
"부정부패 / 현실정치 / 남북관계, 북한",5,"April 21, 2026",,정치외교,%25EC%2599%25B8%25EA%25B5%25AD%25EC%2596%25B4%25EC%258B%259C%25ED%2597%2598%25EB%258C%2580%25EC%25B2%25B4_%25EA%25B0%2595%25EC%25A2%258C_5.pptx
"입양 / 금연 / 환경 / 장애인 ",10,"May 12, 2026",,사회,%25EC%2599%25B8%25EA%25B5%25AD%25EC%2596%25B4%25EC%258B%259C%25ED%2597%2598%25EB%258C%2580%25EC%25B2%25B4_%25EA%25B0%2595%25EC%25A2%258C_10.pptx
노사관계 / 한국 경제의 위상 / 어려움,4,"April 16, 2026",,경제,%25EC%2599%25B8%25EA%25B5%25AD%25EC%2596%25B4%25EC%258B%259C%25ED%2597%2598%25EB%258C%2580%25EC%25B2%25B4_%25EA%25B0%2595%25EC%25A2%258C_4.pptx
"다이어트 / 아동학대, 아동 성범죄 /게임중독",12,"May 19, 2026",,사회,%25EC%2599%25B8%25EA%25B5%25AD%25EC%2596%25B4%25EC%258B%259C%25ED%2597%2598%25EB%258C%2580%25EC%25B2%25B4_%25EA%25B0%2595%25EC%25A2%258C_12.pptx
기말고사,16,"June 2, 2026",,,
스마트폰 중독 / 인터넷 / 학교폭력,13,"May 21, 2026",,문화 과학,%25EC%2599%25B8%25EA%25B5%25AD%25EC%2596%25B4%25EC%258B%259C%25ED%2597%2598%25EB%258C%2580%25EC%25B2%25B4_%25EA%25B0%2595%25EC%25A2%258C_13.pptx
"다문화 / 동성애 / 성형 ",11,"May 14, 2026",,사회,%25EC%2599%25B8%25EA%25B5%25AD%25EC%2596%25B4%25EC%258B%259C%25ED%2597%2598%25EB%258C%2580%25EC%25B2%25B4_%25EA%25B0%2595%25EC%25A2%258C_11.pptx